#    L    TT             EE             BB             TE          
     2   0.101312E+04   0.345968E-01   0.164082E-04   0.283881E+01
     3   0.963273E+03   0.493261E-01   0.172631E-04   0.330428E+01
     4   0.913540E+03   0.481800E-01   0.155348E-04   0.320939E+01
     5   0.876096E+03   0.368069E-01   0.125745E-04   0.283101E+01
     6   0.848542E+03   0.234070E-01   0.947826E-05   0.235836E+01
     7   0.830471E+03   0.132565E-01   0.688350E-05   0.190449E+01
     8   0.820770E+03   0.761833E-02   0.505900E-05   0.152406E+01
     9   0.815585E+03   0.525969E-02   0.400597E-05   0.124013E+01
    10   0.814596E+03   0.440909E-02   0.358868E-05   0.105222E+01
    11   0.815828E+03   0.391991E-02   0.363596E-05   0.946853E+00
    12   0.819581E+03   0.354559E-02   0.399229E-05   0.911625E+00
    13   0.825505E+03   0.305974E-02   0.454855E-05   0.927569E+00
    14   0.833671E+03   0.287067E-02   0.521811E-05   0.973432E+00
    15   0.842716E+03   0.294763E-02   0.595998E-05   0.103393E+01
    16   0.851426E+03   0.314399E-02   0.674860E-05   0.109784E+01
    17   0.860908E+03   0.350889E-02   0.757436E-05   0.116100E+01
    18   0.871710E+03   0.395466E-02   0.843232E-05   0.122307E+01
    19   0.884580E+03   0.449900E-02   0.932007E-05   0.128536E+01
    20   0.897429E+03   0.522477E-02   0.102358E-04   0.134674E+01
    21   0.910460E+03   0.610282E-02   0.111778E-04   0.140923E+01
    22   0.923890E+03   0.715973E-02   0.121442E-04   0.147399E+01
    23   0.937556E+03   0.839764E-02   0.131331E-04   0.154055E+01
    24   0.951566E+03   0.978336E-02   0.141429E-04   0.160779E+01
    25   0.965925E+03   0.113380E-01   0.151722E-04   0.167376E+01
    26   0.980488E+03   0.130553E-01   0.162199E-04   0.173759E+01
    27   0.995434E+03   0.149280E-01   0.172849E-04   0.179652E+01
    28   0.101056E+04   0.169739E-01   0.183660E-04   0.184880E+01
    29   0.102599E+04   0.191955E-01   0.194621E-04   0.189357E+01
    30   0.104169E+04   0.216026E-01   0.205715E-04   0.192911E+01
    31   0.105747E+04   0.242085E-01   0.216928E-04   0.195587E+01
    32   0.107349E+04   0.270175E-01   0.228244E-04   0.197447E+01
    33   0.108979E+04   0.300406E-01   0.239654E-04   0.198438E+01
    34   0.110624E+04   0.332976E-01   0.251146E-04   0.198569E+01
    35   0.112290E+04   0.367869E-01   0.262707E-04   0.197920E+01
    36   0.113979E+04   0.405104E-01   0.274319E-04   0.196464E+01
    37   0.115674E+04   0.444716E-01   0.285968E-04   0.194054E+01
    38   0.117389E+04   0.486802E-01   0.297638E-04   0.190712E+01
    39   0.119129E+04   0.531408E-01   0.309313E-04   0.186380E+01
    40   0.120876E+04   0.578621E-01   0.320979E-04   0.180958E+01
    41   0.122653E+04   0.628567E-01   0.332623E-04   0.174342E+01
    42   0.124434E+04   0.681321E-01   0.344228E-04   0.166491E+01
    43   0.126234E+04   0.736945E-01   0.355780E-04   0.157383E+01
    44   0.128036E+04   0.795352E-01   0.367263E-04   0.147083E+01
    45   0.129873E+04   0.856557E-01   0.378663E-04   0.135665E+01
    46   0.131738E+04   0.920596E-01   0.389964E-04   0.122998E+01
    47   0.133614E+04   0.987435E-01   0.401153E-04   0.109118E+01
